"NUMBER","INETSDESC","INETSHORTD","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"AVIKS               ","Viking Ship amulet                                                                                                      ","Iconic Viking long ship as amulet. Celebrate the famous ship with dragon bow that spanned much of the oceans. Explore new beginnings and adventure with the energy of this amulet. Has cord. Lead free pewter  1"".  Made in USA.","20","0.02","8.95",,0,"AVIKS.jpg                                ",0
"AVIKW               ","Viking Wolf Head amulet                                                                                                 ","This Norse styled Wolf shield talisman shows symbol of protection for you to wear and find help in. Made in USA. Has cord. Glass eyes Lead free pewter. 1 1/2"" x 1 1/2"" at its farthest points, sizes may vary. Made in USA.","1","0.04","7.95",10/11/2019 0:00:00,0,"AVIKW.jpg                                ",0
"AVOOC               ","Voodoo Coffin amulet                                                                                                    ","Most commonly used in Voodoo, this amulet can be used to craft potent curses and spells. Made in USA. Has cord. Lead free pewter. 1 1/4"" x 1/2"".  Made in USA.","11","0.03","7.95",,0,"AVOOC.JPG                                ",0
"AWATT               ","Wicca Attraction amulet                                                                                                 ","This amulet uses this powerful symbolism to empower your spells, particularly love spells and spells of money drawing. Made in USA. Has cord. Pewter. 1 1/2” x 1”","45","0.03","10.95",,0,"AWATT.JPG                                ",0
"AWBAL               ","Wicca Balancing amulet                                                                                                  ","This amulet is a powerful symbol of the Goddess, and a great focus for balancing your energies as well as the energies around you. Made in USA. Has cord. Pewter. 1 1/2” x 1”.  Made in USA","33","0.03","10.95",,0,"AWBAL.JPG                                ",0
"AWDIR               ","Wicca Direction amulet                                                                                                  ","Shaped like a dagger, this small amulet is intended to help direct spiritual energies in a fashion similar to an athame. Made in USA. Has cord. Pewter. 2"" x 1/2""","32","0.03","10.95",,0,"AWDIR.JPG                                ",0
"AWEA130             ","Wealth & Happiness talisman                                                                                             ","Shaped like a coin and engraved in ancient Chinese symbols, this talisman is intended to attract wealth and happiness. Made in USA. Has cord. Lead free pewter. 1 3/4”.  Made in USA.","8","0.06","7.95",,0,"AWEA130.JPG                              ",0
"AWICG               ","Wiccan Goddess amulet                                                                                                   ","Sky clad woman holding torque of power with the symbols of moon and gender. Behind her is a pentagram. Start any new with the energy of her and the 5 elements. Made in the U.S.A. Lead free pewter. Silver toned and has cord 1 3/4"".","31","0.05","8.95",,0,"AWICG.jpg                                ",0
"AWIN3               ","Win Mate amulet                                                                                                         ","This magical seal is intended to aid you in attracting and winning the heart of your special someone. Made in USA. Has cord. Lead free pewter. 1 1/4”.  Made in USA.","38","0.07","7.95",10/18/2019 0:00:00,0,"AWIN3.JPG                                ",0
"AWIN45              ","Win in Court amulet                                                                                                     ","Strengthening your own powers of charisma and your ability to gain sympathy, this amulet is intended to aid in winning court cases. Has cord. Lead free pewter. 1”.  Made in USA.","65","0.04","7.95",,0,"AWIN45.JPG                               ",0
"AWINT               ","Wicca Intuition amulet                                                                                                  ","This amulet shows the Goddess, raising her hands above her head as the source of all life and the connection that binds all things. Made in USA. Has cord. Pewter. 1 1/2” x 1/2”","14","0.03","10.95",,0,"AWINT.JPG                                ",0
"AWIS185             ","Wishing Lamp amulet                                                                                                     ","Rub this wishing amulet when you are thinking of that which you desire to help make your wishes come true. Made in USA. Has cord. Lead free pewter. 1” x 1/2”.","43","0.02","7.95",,0,"AWIS185.JPG                              ",0
"AWISF               ","Wish Fulfillment Pentagram                                                                                              ","Using the mystical pentagram to invoke spiritual powers, this powerful amulet aids you in making your wishes come true. Made in USA. Has cord. Lead free Pewter. 1”. ","22","0.03","5.95",10/11/2019 0:00:00,0,"AWISF.JPG                                ",0
"AWNEW               ","Wicca New Beginnings amulet                                                                                             ","Showing a sky clad woman raising an offering before a pentagram, this amulet is intended to aid you in being ready for a new beginning. Silver toned and has cord. Pewter. 1 3/4” x 1 1/4” Made in USA","44","0.03","10.95",,0,"AWNEW.JPG                                ",0
"AWOLF               ","Wolf with Feathers amulet 3 1/4""                                                                                        ","A wolf howling upward, is accented by feathers forming the outer edge of this large pendant. The wolf is a symbol of guardianship, ritual, loyalty, and spirit, has the ability to make quick and firm emotional attachments, and often need to trust their own instincts. Thus they teach us to do the same, to trust our hearts and minds, and have control over our own lives. Made of lead pewter amulet, Comes with cord. Made in USA. Approximately 3 1/2” x 2 1/4"" at widest points.","12","0.1","8.95",,0,"AWOLF.jpg                                ",0
"AWOLL               ","Wolf Lovers amulet                                                                                                      ","A wolf lovers lead free pewter amulet, heart shape, connected and entwined by a Celtic knot at the hearts bottom point. Made in USA. Comes with cord. Approximately 1 1/4” from bottom tip to top loop x 1 3/8"" at farthest width points .","10","0.02","7.95",,0,"AWOLL.jpg                                ",0
"AWPOW               ","Wicca Power amulet                                                                                                      ","The Goddess standing within a horizontal, crescent moon is a powerful representation of the feminine divine. Made in USA. Has cord. Pewter. 1 1/2” ","22","0.03","10.95",,0,"AWPOW.JPG                                ",0
"AWPRO               ","Wicca Protection amulet                                                                                                 ","This amulet is a powerful aid in keeping evil spirits and curses from reaching the intended target, offering protection to the wearer. Made in USA. Has cord. Pewter. 1”. ","34","0.03","10.95",,0,"AWPRO.JPG                                ",0
"AWSPI               ","Wicca Spiritual Rebirth amulet                                                                                          ","The pentagram representing a mortal life and the cauldron the womb, this amulet is a powerful aid in your search for spiritual rebirth. Made in USA. Has cord. Pewter. 1 3/4” x 3/4”","7","0.03","10.95",,0,"AWSPI.JPG                                ",0
"AWSTA               ","Wicca Stability amulet                                                                                                  ","Wear this amulet of a braided crescent moon and interwoven pentagram, to find strength and stability within you and without. Made in USA. Has cord. Pewter. 1 1/4”","42","0.03","10.95",,0,"AWSTA.JPG                                ",0
"AWWIS               ","Wicca Wisdom amulet                                                                                                     ","A crescent moon, encircled in mists that form the wizened face of an old man, this amulet is a powerful symbol of the divinity that shrouds us. Made in USA. Has cord. Pewter. 1 1/4”","0","0.03","10.95",10/11/2019 0:00:00,0,"AWWIS.JPG                                ",0
"AYY                 ","Yin Yang I Ching amulet                                                                                                 ","Representing the balance of forces within yourself and all things, this amulet aids in finding internal calm and harmony. Made in USA. Has cord. Lead free pewter. 1”.  Made in USA.","58","0.03","4.95",,0,"AYY.JPG                                  ",0
"AZABR               ","Abracadabra amulet                                                                                                      ","Abracadabra is an ancient healing spell from Rome. Said nine times, dropping the last letter each time, diminishing illness. Made in USA. Has cord. Lead free pewter. 3/4”.  Made in USA.","19","0.02","7.95",,0,"AZABR.jpg                                ",0
"AZBRIL              ","Bring Love & Friendship amulet                                                                                          ","This amulet has been inscribed with words and signs of power that are intended to help bring love and friendship into your life. Made in USA. Has cord. Lead free pewter. 1 1/4” x 1/4”.  Made in USA.","38","0.02","8.95",,0,"AZBRIL.jpg                               ",0
"AZHART              ","Hare Trinity amulet                                                                                                     ","The Hare Trinity amulet is intended to help bring fertility, rebirth, and prosperity into the lives of those who wear it. Has cord. Lead free pewter. 3/4”.  Made in USA.","6","0.02","8.95",10/11/2019 0:00:00,0,"AZHART.jpg                               ",0
"AZMAGH              ","Magic Hexagram amulet                                                                                                   ","The Hexagram has been used as a magical symbol for thousands of years as a form that can act as a portal to the spirit world. Has cord. Lead free pewter. 3/4”.  Made in USA.","21","0.02","8.95",,0,"AZMAGH.jpg                               ",0
"AZSPEC              ","Spell Charm amulet                                                                                                      ","This spell charm is worn to protect against evil spells and magic, the jealousy of others, and the ill will of those you might encounter. Has cord. Lead free pewter. 1 1/4” x 1/2”.  Made in USA.","23","0.02","8.95",,0,"AZSPEC.jpg                               ",0
"B100SPE             ","1001 Spells for Every Purpose (hc) by Cassandra Eason                                                                   ","For love, for money, for career, for home: this comprehensive compendium contains a creative array of 1,001 spells. They cover every conceivable desire, both big (health and healing) and more specific (like selling a house). Twenty different sections, ranging from fertility and travel to protection and justice, contain 50 spells each—culminating in an ultimate “spell to end all spells.” Along with the spells, there’s information on the colors, fragrances, crystals, angels, times of day, and phases of the moon that strengthen each type of magick.","30","1.6","19.95",10/3/2019 0:00:00,0,"B100SPE.jpg                              ",0
"B101POW             ","101 Power Crystals by Judy Hall                                                                                         ","The definitive resource for working with powerful crystals! Sparkling, luminous, and colorful, it is no wonder crystals have always been regarded as a source of power from ancient times to present day. But with the enormous number of crystals now on the market, it is difficult to choose exactly the right stone. In 101 Power Crystals, internationally renowned crystal expert Judy Hall brings together 101 crystals that are powerful across a wide spectrum of uses and suitable for all types of user. Not all crystals suit everyone, and the selection has been specially chosen to offer alternatives and new possibilities that may not have been thought of before. This complete collection includes high vibration crystals that experienced crystal practitioners will want to explore as well as those with earthier vibrations that are suited to beginners or those developing their sensitivities. It also features some rare and recently discovered crystals and stones that have not been included in any other volume, such as Aurora Quartz, Que Sera, Trigonic Quartz, and Preseli Bluestone. Each entry covers the history, mythology, and symbolism of the crystal in addition to its healing properties and environmental effects. There are crystals and stones for love, health, protection, abundance, and many other powers.","9","1.7","22.99",,0,"B101POW.jpg                              ",0
"B10MINC             ","10 Minute Crystal Ball (hc) by Skye Alexander                                                                           ","Sharpen your intuition and divination powers with techniques that can be performed in minutes: Use tarot cards to understand meaningful messages, Learn which stone to carry to attract love and contentment, Interpret dream symbols and their significance, Analyze a friend’s handwriting to determine his secrets, Say goodbye to expensive psychic readings. 10-Minute Crystal Ball will teach you all the tricks of the trade—allowing you to open new doors and explore fresh opportunities as you uncover the wisdom you never knew you possessed.","6","1.3","18.99",,0,"B10MINC.jpg                              ",0
"B10MINMS            ","10 Minute Magic Spells (hc) by Skye Alexander                                                                           ","With just a little guidance you can perform a range of spells: Use quartz crystals to protect your home Make a love charm to attract a lover, Burn a candle to bring good health, Charge water with moonlight to bring good luck And more! Some magic is basic and practical, such as finding a treasured item you’ve lost; some is performed as part of an ongoing practice of self-care. Learn to put magic to use for you in just 10 minutes. 8"" x 5 3/4"" Hard cover book by Skye Alexander with 208 pages.","9","1.3","18.99",,0,"BMAGSPE.jpg                              ",0
"B120DRE             ","12,000 Dreams Interpreted by Gustavus Hindman Miller                                                                    ","Nearly a century ago, Gustavus Hindman Miller published his groundbreaking masterwork, 10,000 Dreams Interpreted, the most compelling and thorough study of all the symbols that appear in our dreamscape. Miller offered an enlightening introduction to dream history and types, and organized his symbols into eminently logical categories. Now, popular psychic and medium Linda Shields has updated this classic, featuring revisions and additions to more than 2,000 of his original interpretations as well as 2,000 entirely new entries. This brings the book up to speed with our modern life, including objects unknown in Miller's time, such as cell phones, computers, televisions, and more.","13","1.9","12.95",10/3/2019 0:00:00,0,"B120DRE.jpg                              ",0
"B20ALCW             ","2020 Alchemy Gothic Calendar by Llewellyn                                                                               ","Discover a gorgeously illustrated sixteen-month calendar. Featuring an incredible collection of gothic artwork, the Alchemy 1977 Gothic 2020 Calendar includes a designed grid for each month. Evocative and mystical, this calendar will guide you through the year with a new appreciation for the realm of shadows.","63","0.8","14.99",,0,"B20ALCW.jpg                              ",0
"B20ASTDIA           ","2020 Astrology Diary by Patsy Bennett                                                                                   ","Make 2020 your year with Patsy Bennett's astrology guide to the signs and stars. Focus on health, wealth, and happiness using Patsy's up-to-date insight into major planetary alignments and what they will mean for you, including eclipses, New Moons, Full Moons, and Sun sign forecasts throughout the year. Includes: Northern hemisphere planner with astrological interpretations A week-at-a-glance diary Monthly Sun sign forecasts Tips for excelling during eclipse seasons When to grow ideas, when to take action Romance, health, wealth, and happiness hotspots Dates, signs, and meanings of 2020 New Moons and Full Moons Mercury retrogrades and how to make them work for you. 5"" x 7.8"" soft cover book with 142 pages.","26","0.4","8.95",,0,"B20ASTDIA.jpg                            ",0
"B20ASTP             ","2020 Astrological Pocket Planner by Llewellyn                                                                           ","Be more organized, reach your goals, and plan your best year yet using cosmic wisdom. This convenient, pocket-sized planner will help you choose the best dates for all your important events, from job interviews and business meetings to weddings and graduation parties. A favorite resource for beginners and advanced astrologers for more than twenty years, Llewellyn's Astrological Pocket Planner shows you how to pinpoint ideal times to plant a garden, begin new projects, conduct self-reflection, go fishing, and more. You'll also avoid planetary pitfalls by following the easy-to-read retrograde and Moon void-of-course tables. Includes space to jot down your daily appointments.","107","0.4","9.99",,0,"B20ASTP.jpg                              ",0
"B20ASTW             ","2020 Astrological Calendar by Llewellyn                                                                                 ","Published since 1932, Llewellyn's Astrological Calendar is the best-known, most-trusted astrological calendar sold today. Everyone, even beginners, can use this beautiful and practical calendar to plan the year wisely. Includes monthly horoscopes, best days for planting and fishing, rewarding and challenging days, travel forecasts, and an astrology primer. More advanced astrologers will find major daily aspects and a wealth of other essential astrological information.","137","0.98","15.99",,0,"B20ASTW.jpg                              ",0
"B20CRYCAL           ","2020 Crystal Calendar by Rachelle Charman                                                                               ","Lighten up your year and beautify your desk with this 2020 Crystal Calendar. As you move into each month you are blessed with a different crystal energy and positive words of wisdom to guide and inspire you. The photos of the crystals are vibrant and exquisite and will be a beautiful addition to your home or office. This magical calendar will brighten up your days as it pours good vibrations into your life with its energy of love and healing. Whether you consciously connect and work with the energy and crystals of this calendar or simply have it in your home it will fill your world with love and inspiration.","44","0.6","7.95",,0,"B20CRYCAL.jpg                            ",0
"B20DAIP             ","2020 Daily Planetary Guide by Llewellyn                                                                                 ","Using the energy of the cosmos to plan your year is easy with Llewellyn's 2020 Daily Planetary Guide, the most trusted and astrologically detailed guidebook available. Determine the best time to do anything on a monthly, weekly, and daily basis—and even down to the minute. Before setting up a job interview, signing a contract, planning a vacation, or scheduling anything important, consult the weekly forecasts and Opportunity Periods—times when the positive flow of energy is at its peak. Plan your year wisely according to aspects, ephemerides, retrograde planets, eclipses for 2019, and more astrological information. Even beginners can use this powerful planner, which explains the planets, signs, houses, and how to use this guide.","64","0.7","12.99",,0,"B20DAIP.jpg                              ",0
"B20DRAW             ","2020 Dragon Calendar by Llewellyn                                                                                       ","Fill your year with the might and magic of dragons. Featuring Piya Wannachaiwong’s gorgeous and energetic artwork, Llewellyn’s 2020 Dragon Calendar is the perfect choice for dragon enthusiasts. These fantastic creatures offer fiery inspiration and wisdom each month, encouraging you to live brighter and plan smarter. From graceful wyrms to powerful wyverns, you’ll meet a variety of amazing dragons. Includes major US and UK holidays as well as moon quarters.","75","0.8","14.99",,0,"B20DRAW.jpg                              ",0
"B20ESSOW            ","2020 Essential Oils Calendar by Llewellyn                                                                               ","Packed with detailed tips, tricks, and practical information for using essential oils in your daily life and illustrated with breathtaking art, this gorgeous calendar is perfect for anyone with an interest in essential oils, from absolute beginners to experts who want to stay ""in the know."" Featured oils include geranium, lavender, eucalyptus, frankincense, orange, lemon, Ylang-Ylang, rose, peppermint, tea tree, clary sage, and rosemary. Each month's page features a different oil and includes the name, botanical name, brief explanation, properties, benefits, practical applications, cautions, and a recipe. Discover recipes and mixtures for allergies, insomnia, broken hearts, pain, cough/cold, stress relief, digestive problems, and allergies as well as home cleaners and more. This calendar includes four pages of bonus material that includes safety warnings, dilution chart, patch testing, animals and oils, carrier oils, oils and astrological signs, oils and the chakras, making a roller ball, and more.","104","0.8","14.99",,0,"B20ESSOW.jpg                             ",0
"B20HERA             ","2020 Herbal Almanac by Llewellyn                                                                                        ","Llewellyn's Herbal Almanac offers a wide variety of practical ideas on how to benefit from nature's most versatile plants. With hands-on projects, fresh ideas, and tips and techniques, this guide is designed for herb enthusiasts of all skill levels. It also features innovative herbal ideas that span gardening, cooking, crafts, health, beauty, history, and lore.","84","0.8","14.99",,0,"B20HERA.jpg                              ",0
"B20LUNDIA           ","2020 Lunar & Seasonal Diary by Stacey Demarco                                                                           ","The 2020 Lunar &amp; Seasonal Diary is beautifully produced with full-color pages and a spiral binding that allows the pages to lie flat and features extra space for recording notes. The diary includes gods and goddesses for each month, lunar timings, and seasonal spell castings and invocations for specific moon phases, including equinoxes and solstices. This moon diary is also packed with invaluable tips and techniques for increasing your wealth, improving your relationships, boosting your vitality, magnifying your personal power, and removing obstacles and fears that are holding you back in your life. A 6"" x 9.5"" soft cover (thin binder style).","39","1.2","19.95",,0,"B20LUNDIA.jpg                            ",0
"B20MAGA             ","2020 Magical Almanac by Llewellyn                                                                                       ","Explore new ways to deepen your magical practice with Llewellyn’s 2020 Magical Almanac. For more than twenty-five years, this almanac has provided useful spells, rituals, and ideas that inspire all levels of practitioners to improve their connection to the elements. This year’s edition features nearly three dozen compelling articles, grouped by element, on working with ancestors, processing grief, using scissors as a magical tool, making magic accessible to those with disabilities, creating an urban elemental garden, improving home security, sigil witchery, healing circles, the archangel of magic, and much more.","95","0.8","14.99",11/1/2019 0:00:00,0,"B20MAGA.jpg                              ",0
"B20MAGFW            ","2020 Magical Faery Calendar by Llewellyn                                                                                ","Featuring the captivating and beautifully detailed art of Emily Fiegenschuh, Llewellyn’s 2020 Magical Faery Calendar will fill your year with bright and joyful faeries. Each month offers an enchanting watercolor painting that will inspire you to use the wisdom of these faeries to live a happier, more magical life. This lovely calendar includes major US and UK holidays and moon quarters.","108","0.8","14.99",,0,"B20MAGFW.jpg                             ",0
"B20MAGMCW           ","2020 Magical Mystical Cats Calendar by Llewellyn                                                                        ","Featuring absolutely adorable art from renowned artist Lisa Parker, this fabulous collection is the perfect wall calendar for magical felines and the people who love them! This calendar features cute cats exploring tarot and crystal balls, star gazing, playing with magical energies floating out of a bubbling elixir, and much more. Lisa Parker's art perfectly captures the special connection all cats have to the realm of magic. 11.8"" x 11.8""","114","0.8","14.99",,0,"B20MAGMCW.jpg                            ",0
"B20MAUW             ","2020 Mausolea Calendar by Lo Scarabeo                                                                                   ","Every culture has its story and myths about the realm of the dead. Artist Jason Engle has made it his life's work to study the myths of the afterlife from around the world and blend the images into a wholly new and absolutely amazing imaginal universe known as Mausolea. This is fantastical art where the fascinating and detailed touches evoke a kind of unearthly power that seems to reach into your soul and emanate a thrilling shiver of surreal recognition. This calendar is sure to be a popular addition wherever it is displayed. 11.8"" x 11.5""","79","0.8","13.99",,0,"B20MAUW.jpg                              ",0
"B20MOOD             ","2020 Moon Sign Datebook by Llewellyn                                                                                    ","An essential companion to the bestselling Llewellyn's Moon Sign Book, this weekly planner features full-moon lore, tips for gardening by the moon, retrogrades, void-of-course, equinoxes, and solstices—everything you need to plan a successful future. With plenty of space to write in appointments and tips on the best days for special events, simple tasks, and outdoors activities like fishing and gardening, this datebook is the perfect resource for making the most of the natural energies of the moon. Tabbed pages at the beginning of each month for easy flip-to reference Lay-flat design with calendar spreads makes it easy to write in appointments and special events Includes moon phases and void-of-course times, equinoxes, solstices, and Mercury retrogrades Auspicious dates for important events and tips for gardening by the moon.","76","0.8","12.99",11/1/2019 0:00:00,0,"B20MOOD.jpg                              ",0
"B20MOOS             ","2020 Moon Sign Book by Llewellyn                                                                                        ","A bestseller since 1905, Llewellyn's Moon Sign Book has helped millions take advantage of the moon's dynamic energies. Use this essential life-planning tool to choose the best dates for almost anything: getting married, buying or selling your home, requesting a promotion, applying for a loan, traveling, having surgery, seeing the dentist, picking mushrooms, and much more. With lunar timing tips on planting and harvesting and a guide to companion plants, this popular guide is also a gardener's best friend.","95","0.8","12.99",,0,"B20MOOS.jpg                              ",0
"B20SABA             ","2020 Sabbats Almanac by Llewellyn                                                                                       ","Make your seasonal celebrations even more magical with Llewellyn’s 2020 Sabbats Almanac. Packed with rituals, rites, recipes, and crafts, this helpful guide offers fun and fresh ways to celebrate the eight sacred Wiccan holidays and enhance spiritual life throughout the year. Get a new perspective on honoring the Wheel of the Year from your favorite Wiccan and Pagan authors. Plan spiritually uplifting celebrations and sustainable seasonal activities. Perform Sabbat-specific rituals and family activities. Create tasty treats and crafts as reminders of the season’s gifts and lessons. Also featured are astrological influences to help you plan rituals according to cosmic energies.","110","0.8","12.99",,0,"B20SABA.jpg                              ",0
"B20STAW             ","2020 Starman Tarot Calendar by Lo Scarabeo                                                                              ","New for 2020! Filled with the vibrant art of Davide De Angelis?who worked closely with David Bowie for years on everything from album art to stage sets to art gallery shows?the Starman Calendar brings the passion and energy of a great Bowie performance to your wall. Artwork from the Starman Tarot, the hottest tarot deck of the year, adorn the pages of this fabulous calendar, making it a must-have project for Bowie fans and lovers of fine tarot art. 11.5"" x 11.5"".","125","0.8","13.99",,0,"B20STAW.jpg                              ",0
"B20SUNS             ","2020 Sun Sign Book by Llewellyn                                                                                         ","Gaze into the months ahead and plan your best year yet with Llewellyn's 2020 Sun Sign Book. This easy-to-use almanac shows you how to use planetary wisdom to reveal exciting opportunities in your future. It also helps you answer important questions about money, career, relationships, and more. Discover horoscopes for every sign by astrologer Lesley Francis. Learn which areas in your life have potential for great success and which require extra attention. Explore which days each month are rewarding and which are challenging. You'll also enjoy a guide to the best dates for endeavors like finding a job, beginning a romance, taking a vacation, or buying a house.","49","0.8","12.99",,0,"B20SUNS.jpg                              ",0
"B20TARW             ","2020 Tarot Calendar by Llewellyn                                                                                        ","Take your tarot reading to a whole new level with Llewellyn's 2020 Tarot Calendar. More than just an attractive collection of art, this calendar provides unique ideas and inspiration all year long. Each month features evocative and beautiful cards, chosen by tarot expert Barbara Moore, paired with indispensable tarot wisdom and guidance.","90","0.8","14.99",,0,"B20TARW.jpg                              ",0
"B20UNIW             ","2020 Unicorns Calendar by Lo Scarabeo                                                                                   ","Enjoy Paolo Barbieri's dazzling and majestic unicorns for an entire year with this beautiful calendar. His breathtaking interpretations of these mystical beings will spark your imagination and inspire you to live magically each month. With amazing detail and lush color, Barbieri brings his unicorns to life so they can improve yours. 11.8"" x 11.5""","111","0.8","13.99",,0,"B20UNIW.jpg                              ",0
"B20WITCA            ","2020 Witches Companion Almanac by Llewellyn                                                                             ","Live your Craft every day with Llewellyn's Witches' Companion. This indispensable guide will keep you one step ahead of the latest witchy trends, practices, and issues.","106","0.8","12.99",,0,"B20WITCA.jpg                             ",0
"B20WITD             ","2020 Witches Datebook by Llewellyn                                                                                      ","Live better, stay organized, and celebrate your Craft every day with Llewellyn's 2020 Witches' Datebook. This wonderful tool features beautiful illustrations from award-winning artist Jennifer Hewitson, a variety of ways to celebrate the Wheel of the Year, and powerful wisdom from practicing witches. Find fresh ways to celebrate the sacred seasons and enhance your practice with sabbat musings (Barbara Moore), tasty sabbat recipes (Anna Franklin), Witchy tips (Elizabeth Barrette), and essential oils (Tess Whitehurst). Also included are fascinating articles on guiding goddess archetypes (Danielle Blackwood), pop culture protection magick (Emily Cardin), chakra healing (Melissa Tipton), honoring personally sacred days (Laura Tempest Zakroff), and more. This indispensable, on-the-go tool will make all your days more magical.","334","0.8","12.99",11/1/2019 0:00:00,0,"B20WITD.jpg                              ",0
"B20WITS             ","2020 Witches Spell A Day Almanac by Llewellyn                                                                           ","Enjoy a new spell every day with Llewellyn’s 2020 Witches’ Spell-A-Day Almanac. Spellcasters of all levels can enhance their daily life with these easy bewitchments, recipes, rituals, and meditations. These 365 spells—supplied by popular magic practitioners like Melanie Marquis, Deborah Blake, Devin Hunter, Elizabeth Barrette, and Storm Faerywolf—require minimal supplies and are helpful for every occasion. For convenience, the 365 spells are cross-referenced by purpose, including love, health, money, protection, home and garden, travel, and communication. Discover beginner-friendly advice on the best time, place, and tools for performing each spell. Apply daily color and incense recommendations and astrological data to enhance each day’s magic. And with space to jot down notes, this unique spell book can be used as a Book of Shadows.","140","0.7","12.99",11/1/2019 0:00:00,0,"B20WITS.jpg                              ",0
"B20WITW             ","2020 Witches' Calendar by Llewellyn                                                                                     ","Since 1998, Llewellyn's Witches' Calendar has been a favorite way to mark the turning of the Wheel of the Year. This beautiful calendar features magical wisdom, astrological data, and Witch's holidays, making it the perfect choice for bringing more happiness and enchantment into your year. Each month features beautiful, original art by award-winning illustrator Jennifer Hewitson as well as an inspiring article and spell or ritual.","220","0.8","14.99",10/18/2019 0:00:00,0,"B20WITW.jpg                              ",0
"B365DAYC            ","365 Days of Crystal Magic by sandra Kynes                                                                               ","Deepen your awareness, relieve your stress, and reach your goals with daily crystal magic. This fun, approachable book features simple and effective ways to use crystals throughout the wheel of the year. You can even incorporate them into your sabbat, full moon, historical, and special occasion celebrations. Perfect for any age or interest level, 365 Days of Crystal Magic provides indispensable knowledge on a variety of topics, including prepping and cleaning crystals, utilizing birthstones, and working magic according to the astrological bodies. Every calendar date features a practical idea for using crystals to find love and community, improve your divination, strengthen your willpower, lift your mood, and much more.","6","1.1","17.99",,0,"B365DAYC.jpg                             ",0
"B365DAYH            ","365 Days of Hoodoo by Stephanie Rose Bird                                                                               ","Hoodoo is a bold spiritual tradition that helps enhance your wellbeing and solve everyday problems. This practical, do-it-yourself guide shows you how to use spells, rites, recipes, mojos, and curios to enrich your life and be ready for whatever comes your way. 365 Days of Hoodoo starts by providing the basics of Hoodoo, and then gradually builds your knowledge day after day. You'll discover the essential components for your practice, how to master the parts of your life that seem out of control, and the various ways Hoodoo can improve love, prosperity, protection, and much more. This impressive book also features lore, prayers, potions, altars, baths, and meditations.","12","1.3","19.99",,0,"B365DAYH.jpg                             ",0
"B500TRE             ","500 Treatments for 100 Ailments                                                                                         ","Alternative health practices have a tradition of providing relief to people for thousands of years. However, doctors often provide just one course of treatment when there are so many other options. This unique, all-in-one guide puts everything you need to know about traditional and alternative medicine right at your fingertips. Its authors are leading practitioners in five different fields: conventional medicine, homeopathy, traditional Chinese medicine, herbalism, and naturopathy. They write on everything from aches and pains, to sexual dysfunction, the common cold, mind and spirit, anxiety, and general first aid. Each ailment is presented with four side-by-side, alternative, treatments so you may see which therapy best suits you and your family. Free of medical jargon, the text is written so readers may quickly and easily diagnose your symptoms, and identify treatment. Take control of your healthcare and better understand the choices open to you!","8","2.3","14.99",,0,"B500TRE.jpg                              ",0
"B777OTH0AC          ","777 & Other Qabalistic Writings by Aleister Crowley                                                                     ","777 Other Qabalistic Writings by Aleister Crowley edited and introduced by Dr. Israel Regardie, find within the three texts of Gematria, Sepher Sephiroth, and 777.","8","1.2","26.95",,0,"B777OTH.JPG                              ",0
"BACUBEG             ","Acupressure for Beginners (hc) by Bob Doto                                                                              ","For millennia, the Chinese have been studying the effects of applying pressure to specific points on the body to relieve ailments, from fatigue to illness and pain. Practitioner Bob Doto offers you a thorough understanding of how to use acupressure to improve your standard of life and manage your own well-being. Acupressure for Beginners is your complete guide for learning this ancient art in a beautifully designed and accessible instructional format.","0","1","16.99",10/11/2019 0:00:00,0,"BACUBEG.jpg                              ",0
"BADVCAN             ","Advanced Candle Magick - by Raymond Buckland                                                                            ","Advanced Candle Magick by Ray Buckland The author’s first book on candle magick, Practical Candle burning Rituals is the classic text on candle magick. This book picks up where the previous left off, taking you to the next level in the art of candle magick.","0","0.9","16.99",10/11/2019 0:00:00,0,"BADVCAN.JPG                              ",0
"BAFRCOW             ","African Cowrie Shells Divination by Zolrak                                                                              ","Divination with cowrie shells is one of the oldest known spiritual practices in the world. Originated by the Yoruba people of West Africa, cowrie shell divination is a powerful technique for connecting to the wisdom of ancestors, spirits, and deities. This book shares the history of cowrie shell divination and shows you how to open the portals of spiritual communication with the shells and related divination systems, such as cola nuts and coconuts.","4","0.9","19.99",10/18/2019 0:00:00,0,"BAFRCOW.jpg                              ",0
"BAMUTALB            ","Amulets & Talismans for Beginners by Richard Webster                                                                    ","Saint Christopher medals, ankhs, birthstones, four-leaf clovers all are examples of magical objects used for protection or to attract good luck. This introductory guidebook tells you everything you need to know to make or find talismans, amulets, and charms, and use them to improve your life. Author Richard Webster shows you how to create, charge, purify, and empower your own personal magical objects for a variety of purposes, from attracting love to attaining wealth. With protective amulets from around the world and a dictionary of lucky charms, this easy-to-use book is designed so even absolute beginners can achieve success with their own magical objects. Paperback 264 pages. By Richard Webster.","0","0.9","14.99",10/11/2019 0:00:00,0,"BAMUTALB.jpg                             ",0
